timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn
2026-08-02T21:32:00Z,192.0.2.10,192.0.2.149,23684,18333,tx_csv_0008,bc1qcsv0018,bc1qcsv0019,1.38524976,1.38425915,IN,64500
2026-08-04T14:05:00Z,192.0.2.153,192.0.2.212,44423,18333,tx_csv_0031,bc1qcsv0075,bc1qcsv0076,1.05611177,1.05597433,SG,64501
2026-08-05T12:49:00Z,192.0.2.50,192.0.2.213,32239,8333,tx_csv_0045,bc1qcsvSEEDIN0133,bc1qcsvSEED9999,1.26191577,1.261411,US,64500
2026-08-05T14:01:00Z,192.0.2.32,192.0.2.147,17461,8333,tx_csv_0048,bc1qcsvBURST0134,bc1qcsvBURSTOUT0137,0.22382497,0.22371306,DE,64500
2026-08-03T02:34:00Z,192.0.2.136,192.0.2.206,60075,8332,tx_csv_0012,bc1qcsv0028,bc1qcsv0029,1.87514638,1.87453693,US,64503
2026-08-04T17:48:00Z,192.0.2.34,192.0.2.127,26679,8333,tx_csv_0033,bc1qcsvMI0083|bc1qcsvMI0084|bc1qcsvMI0085|bc1qcsvMI0086|bc1qcsvMI0087,bc1qcsv0088,0.08051458|0.74949139|1.45730045|1.28566676|0.60722506,4.17844849,US,64500
2026-08-05T03:27:00Z,192.0.2.99,192.0.2.44,50969,8333,tx_csv_0040,bc1qcsvCJ0108|bc1qcsvCJ0109|bc1qcsvCJ0110|bc1qcsvCJ0111|bc1qcsvCJ0112,bc1qcsvCJ0113|bc1qcsvCJ0114|bc1qcsvCJ0115|bc1qcsvCJ0116|bc1qcsvCJ0117,0.25568074|0.25540114|0.25643298|0.25456047|0.25579196,0.25523798|0.25523798|0.25523798|0.25523798|0.25523798,DE,64502
2026-08-02T15:26:00Z,192.0.2.18,192.0.2.112,31676,8332,tx_csv_0003,bc1qcsv0006,bc1qcsv0007,1.57469317,1.57419724,SG,64503
2026-08-03T12:00:00Z,192.0.2.118,192.0.2.78,50264,8333,tx_csv_0018,bc1qcsv0043,bc1qcsv0044,1.35504746,1.35401587,US,64503
2026-08-05T14:05:00Z,192.0.2.32,192.0.2.186,57617,8333,tx_csv_0050,bc1qcsvBURST0134,bc1qcsvBURSTOUT0139,0.26178559,0.2616547,US,64501
2026-08-04T03:59:00Z,192.0.2.225,192.0.2.158,40508,8333,tx_csv_0026,bc1qcsv0063,bc1qcsv0064,0.22986676,0.22983531,NL,64504
2026-08-04T16:06:00Z,192.0.2.173,192.0.2.79,7019,8333,tx_csv_0032,bc1qcsvMI0077|bc1qcsvMI0078|bc1qcsvMI0079|bc1qcsvMI0080|bc1qcsvMI0081,bc1qcsv0082,1.42554365|0.94426361|1.17366207|1.35649887|0.71426208,5.60895092,DE,64500
2026-08-03T20:56:00Z,192.0.2.37,192.0.2.11,13428,18333,tx_csv_0024,bc1qcsv0057,bc1qcsv0058,1.46269689,1.46177744,RU,64501
2026-08-04T21:04:00Z,192.0.2.15,192.0.2.137,8058,18333,tx_csv_0035,bc1qcsvMI0095|bc1qcsvMI0096|bc1qcsvMI0097,bc1qcsv0098,1.14890542|0.79868523|0.7574947,2.70257573,SG,64504
2026-08-02T14:28:00Z,192.0.2.115,192.0.2.199,36238,8332,tx_csv_0002,bc1qcsv0004,bc1qcsv0005,1.94250084,1.94218359,US,64501
2026-08-04T09:37:00Z,192.0.2.106,192.0.2.40,40233,8333,tx_csv_0029,bc1qcsv0069|bc1qcsv0070,bc1qcsv0071|bc1qcsv0072,0.6717474|0.07451701,0.64008317|0.10590182,SG,64501
2026-08-05T10:21:00Z,192.0.2.146,192.0.2.189,46237,8333,tx_csv_0044,bc1qcsvHV0131,bc1qcsvHV0132,102.91155917,102.8806857,NL,64501
2026-08-05T14:03:00Z,192.0.2.32,192.0.2.84,3479,8333,tx_csv_0049,bc1qcsvBURST0134,bc1qcsvBURSTOUT0138,0.27166514,0.27152931,IN,64500
2026-08-04T23:50:00Z,192.0.2.194,192.0.2.180,30036,8333,tx_csv_0039,bc1qcsvPEEL0104,bc1qcsvPEEL0106|bc1qcsvPEELCHG0107,10.35906241,10.11062372|0.24325916,IN,64500
2026-08-02T21:11:00Z,192.0.2.129,192.0.2.218,58427,18333,tx_csv_0007,bc1qcsv0015,bc1qcsv0016|bc1qcsv0017,1.98187534,1.69658451|0.28361553,NL,64503
2026-08-03T00:59:00Z,192.0.2.165,192.0.2.37,45966,8333,tx_csv_0009,bc1qcsv0020|bc1qcsv0021,bc1qcsv0022,1.67876552|0.24655541,1.92390553,NL,64503
2026-08-02T20:24:00Z,192.0.2.73,192.0.2.18,51067,8333,tx_csv_0006,bc1qcsv0012,bc1qcsv0013|bc1qcsv0014,0.72562881,0.57119897|0.15418613,IN,64503
2026-08-03T05:36:00Z,192.0.2.52,192.0.2.143,39894,18333,tx_csv_0014,bc1qcsv0032,bc1qcsv0033|bc1qcsv0034,1.14305637,0.30228435|0.83983032,DE,64503
2026-08-03T11:03:00Z,192.0.2.34,192.0.2.119,36796,18333,tx_csv_0017,bc1qcsv0040,bc1qcsv0041|bc1qcsv0042,1.34585643,0.68828842|0.65643625,RU,64504
2026-08-02T17:12:00Z,192.0.2.202,192.0.2.99,16039,8332,tx_csv_0004,bc1qcsv0008,bc1qcsv0009,1.30803283,1.30716636,DE,64502
2026-08-05T13:59:00Z,192.0.2.32,192.0.2.125,52972,8333,tx_csv_0047,bc1qcsvBURST0134,bc1qcsvBURSTOUT0136,0.27426319,0.27412606,SG,64503
2026-08-02T14:01:00Z,192.0.2.236,192.0.2.75,32839,18333,tx_csv_0001,bc1qcsv0001,bc1qcsv0002|bc1qcsv0003,1.84871304,1.19572319|0.65202773,US,64504
2026-08-05T07:18:00Z,192.0.2.5,192.0.2.45,17759,8333,tx_csv_0042,bc1qcsvHV0128,bc1qcsvSEED9999,55.45004634,55.43341133,RU,64504
2026-08-02T19:33:00Z,192.0.2.26,192.0.2.90,53164,8333,tx_csv_0005,bc1qcsv0010,bc1qcsv0011,1.49149334,1.49078251,SG,64501
2026-08-04T12:55:00Z,192.0.2.234,192.0.2.50,22599,8333,tx_csv_0030,bc1qcsv0073,bc1qcsv0074,0.97896641,0.97869784,DE,64500
